541, 802
837, 802
b3a, 802
da3, 800
f4c, 801
fb0, 802
f09, 802
d29, 803
a9d, 801
789, 802
4a0, 802
22b, 802
a9, 802
39, 802
10b, 802
2e0, 802
590, 801
88a, 802
b86, 801
ddb, 802
f66, 801
fac, 800
ee4, 802
ce8, 800
a4a, 801
733, 800
456, 802
1f5, 802
8e, 802
43, 800
132, 802
320, 800
5e1, 801
8df, 802
bd4, 801
e11, 802
f81, 801
fa2, 802
ebc, 802
ca6, 800
9f8, 802
6e0, 802
409, 801
1bf, 802
77, 802
4d, 800
15d, 801
366, 802
634, 801
932, 801
c1d, 801
e46, 800
f93, 802
f95, 803
e8d, 802
c61, 802
9a4, 802
68c, 800
3c2, 802
18d, 800
64, 801
5d, 800
189, 801
3aa, 800
688, 801
989, 800
c65, 801
e74, 802
fa6, 801
f84, 802
e5f, 801
c1a, 803
952, 802
639, 800
37b, 802
161, 800
56, 802
6c, 800
1bd, 801
3f1, 800
6dc, 802
9da, 800
caa, 802
ea1, 802
fb2, 801
f71, 802
e2d, 801
bd0, 800
8fd, 802
5e6, 803
339, 801
134, 803
4b, 801
83, 802
1ef, 802
440, 800
72f, 802
a2d, 802
cec, 801
eca, 800
fbd, 802
f59, 802
df7, 801
b87, 800
8a9, 801
594, 802
2f6, 802
10f, 800
42, 802
9e, 802
227, 802
487, 802
786, 802
a80, 803
d2d, 802
ef2, 802
fc4, 802
f3e, 800
dbf, 802
b3a, 800
852, 801
546, 803
2b5, 801
e9, 800
3d, 802
b8, 802
25d, 801
4d6, 802
7da, 801
acf, 800
d6a, 801
f14, 800
fc4, 801
f1f, 800
d85, 802
aed, 803
7ff, 801
4f5, 803
276, 802
c7, 800
3c, 801
d9, 800
29b, 801
524, 800
82f, 802
b1d, 802
da7, 801
f33, 803
fc6, 802
f00, 802
d45, 801
a9c, 801
7a8, 801
4a6, 802
23f, 804
a9, 800
3f, 801
fd, 800
2db, 801
575, 802
886, 801
b69, 800
de1, 801
f51, 800
fbe, 801
ed8, 802
d08, 801
a4b, 800
752, 801
45a, 800
205, 801
8f, 800
47, 801
122, 802
31b, 801
5c6, 800
8d9, 801
bb5, 802
e1a, 802
f68, 800
fb8, 802
eb2, 800
cc4, 801
9f9, 802
